,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
114905,74TE0DAS5B,42,122396,31409,783,104,2,5.13,12,0.87,High School,Unemployed,Married,Yes,No,Home,No,1
114913,4LUP9W4D4E,24,54272,70600,352,33,3,20.56,60,0.88,High School,Unemployed,Married,Yes,Yes,Auto,No,1
114916,U7K388EWTU,19,88773,17095,659,14,4,12.86,60,0.71,Master's,Unemployed,Divorced,Yes,No,Education,No,1
114924,CS48KHJ4CD,29,133893,111083,509,41,4,14.27,48,0.43,Master's,Self-employed,Married,Yes,Yes,Business,Yes,1
114930,MAJZZEQPF9,26,87663,112677,609,78,2,18.99,12,0.39,PhD,Unemployed,Divorced,Yes,Yes,Home,No,1
114935,196H2RT1GN,33,107545,81407,701,9,3,17.8,12,0.64,Bachelor's,Unemployed,Single,No,Yes,Auto,No,1
114945,KSSIXBUIAR,25,52214,240217,320,80,3,20.35,60,0.23,Bachelor's,Part-time,Single,No,No,Home,Yes,1
114951,2HG4YEHMYZ,64,31132,177622,762,17,4,18.3,36,0.26,Bachelor's,Self-employed,Married,Yes,Yes,Other,Yes,1
114965,BIQ4FHVYDU,50,110835,210793,798,28,1,3.4,12,0.32,Master's,Full-time,Divorced,No,No,Education,No,1
114967,ZV8K4TYWFB,27,86155,97877,307,7,1,10.38,36,0.74,Master's,Part-time,Single,No,No,Business,No,1
114969,P877WJPO39,31,116468,211036,823,94,3,10.47,12,0.57,High School,Unemployed,Single,Yes,No,Business,Yes,1
114980,30957EAE9A,42,90011,160225,775,36,4,24.83,36,0.55,High School,Self-employed,Single,No,No,Business,Yes,1
114989,XMWXXNAJG6,23,48575,162731,481,22,4,12.02,60,0.25,Bachelor's,Full-time,Single,No,Yes,Other,No,1
114998,OL5FHKRZFU,38,147687,213048,314,42,2,22.22,36,0.11,High School,Full-time,Single,Yes,No,Auto,Yes,1
114999,DOMK7W095H,52,144574,17713,715,17,4,23.32,60,0.79,High School,Self-employed,Married,No,Yes,Home,Yes,1
115045,3BM9GPZIGC,19,75103,135566,503,9,3,16.4,48,0.73,Bachelor's,Part-time,Single,No,Yes,Education,Yes,1
115050,2J8WGERRCL,62,55224,100349,777,94,2,17.47,60,0.17,Master's,Part-time,Single,No,No,Education,No,1
115051,MGKEZVBVQF,34,126596,83869,462,82,2,18.01,24,0.7,Master's,Self-employed,Single,Yes,Yes,Home,Yes,1
115054,63X7BXCWXI,32,25084,182829,575,11,3,6.29,60,0.76,Master's,Self-employed,Divorced,No,Yes,Business,No,1
115062,OXOP2NMCE4,44,130765,152569,581,3,1,17.68,48,0.43,Master's,Unemployed,Married,No,No,Other,Yes,1
115065,Z5W90H65C4,34,17536,236034,393,110,4,22.48,12,0.15,PhD,Unemployed,Married,Yes,No,Home,No,1
115069,94B4GVAH6I,30,25362,230840,548,62,2,12.5,48,0.58,Master's,Unemployed,Single,No,Yes,Business,No,1
115076,7OXM7IAUQE,52,91910,216394,672,19,3,22.77,60,0.66,High School,Self-employed,Divorced,No,Yes,Education,No,1
115082,GCKD8SFLVE,44,84067,153202,791,19,4,18.77,12,0.33,High School,Self-employed,Married,No,Yes,Education,Yes,1
115085,1I2A3PKF38,45,69280,165074,501,94,4,15.56,60,0.83,Bachelor's,Full-time,Single,No,No,Business,No,1
115108,3SCT1WRTPE,29,23584,134258,614,17,2,22.5,48,0.46,High School,Unemployed,Divorced,No,No,Other,No,1
115118,OSUYA2T5LK,19,58122,21989,380,28,2,10.39,24,0.11,High School,Self-employed,Married,Yes,No,Business,Yes,1
115122,COISB8A7IL,54,19168,164836,737,45,4,15.19,48,0.14,High School,Unemployed,Single,No,No,Other,No,1
115132,EY7WESVUBO,57,97638,42372,626,28,1,4.24,36,0.33,High School,Unemployed,Single,Yes,No,Education,No,1
115135,7X97O9MA0S,19,39360,36206,458,46,4,23.48,36,0.84,Master's,Self-employed,Divorced,Yes,Yes,Other,No,1
115137,X4XPSZJT8N,55,65807,221567,672,0,1,16.12,12,0.22,Master's,Full-time,Single,No,No,Business,Yes,1
115148,E983GAYG1S,21,35966,195756,461,97,2,18.43,36,0.87,High School,Part-time,Divorced,No,No,Education,No,1
115153,QR5BWT2WYB,22,91837,199839,381,78,2,23.39,36,0.78,High School,Full-time,Divorced,No,No,Other,Yes,1
115157,TMSRLOJF4G,40,139685,145739,351,41,2,4.05,60,0.43,High School,Part-time,Married,Yes,Yes,Other,No,1
115161,MSVYDZXRLQ,53,41826,127756,745,14,1,13.56,12,0.71,High School,Self-employed,Divorced,Yes,No,Business,No,1
115170,2WPIR3BQF7,63,86765,124026,433,95,1,20.64,24,0.47,Master's,Part-time,Divorced,Yes,Yes,Other,No,1
115177,YT31I9GW89,38,105093,221054,795,40,3,22.21,24,0.77,PhD,Full-time,Single,Yes,No,Other,No,1
115204,QQR8MZZUTC,24,79186,156041,768,8,4,23.25,36,0.37,PhD,Part-time,Married,No,No,Home,No,1
115208,UT7CHH5DJ3,20,49340,174836,434,111,1,17.41,12,0.27,High School,Self-employed,Divorced,Yes,Yes,Education,Yes,1
115226,TJND1TK2UU,61,84841,224630,477,1,4,23.82,36,0.43,High School,Part-time,Married,No,No,Home,Yes,1
115228,Y95TMO7JX4,37,127979,178900,484,56,2,23.2,48,0.62,PhD,Part-time,Single,No,No,Other,No,1
115232,8L6UE2LZRE,18,146093,20948,792,39,2,18.48,24,0.75,Master's,Part-time,Married,No,No,Home,Yes,1
115247,BINJMUEVLI,35,137969,239439,673,20,2,13.76,24,0.21,Master's,Part-time,Single,No,Yes,Home,Yes,1
115254,5GMEAKX7PG,25,20856,165311,809,94,2,6.4,48,0.8,High School,Self-employed,Married,No,No,Other,No,1
115258,62MB4FDG06,47,122117,240656,398,101,3,2.45,60,0.28,PhD,Part-time,Single,No,Yes,Auto,No,1
115259,EXLTIMNCOU,69,91398,180332,419,42,1,22.38,60,0.76,High School,Unemployed,Divorced,Yes,No,Home,Yes,1
115266,27NLOI9MUD,42,83735,233275,374,88,4,7.74,36,0.42,PhD,Part-time,Single,No,Yes,Business,No,1
115277,S5TN7OKC93,22,126925,249097,816,43,3,7.63,12,0.1,Master's,Unemployed,Single,No,No,Education,No,1
115278,R5AXP6VV19,57,135039,22924,458,117,4,21.27,48,0.68,High School,Full-time,Divorced,No,No,Education,Yes,1
115282,7VR2ABI0D2,23,141712,76582,352,25,4,20.55,36,0.37,Bachelor's,Unemployed,Divorced,No,Yes,Education,No,1
115284,PL8KK7BIQO,21,29693,71564,821,46,1,15.09,12,0.87,High School,Self-employed,Single,No,No,Other,Yes,1
115299,4PB7I0OTX5,55,112037,184824,511,67,3,12.52,48,0.11,Master's,Part-time,Single,Yes,No,Education,Yes,1
115313,99FQQQ9GE9,33,35817,27107,762,44,1,21.11,24,0.41,Master's,Unemployed,Married,No,No,Other,No,1
115336,GYXNDQ8UQ0,44,75831,235559,751,63,1,13.16,36,0.4,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,1
115340,2HKKMY2BSR,39,44240,209068,442,52,2,6.03,12,0.64,High School,Unemployed,Married,No,No,Education,No,1
115360,0KS3WNN8X4,18,137879,238319,840,70,3,13.3,48,0.65,PhD,Part-time,Single,No,Yes,Auto,Yes,1
115393,BDRTKEYJQF,27,95517,153172,628,37,1,17.31,12,0.47,Master's,Unemployed,Divorced,Yes,No,Home,Yes,1
115404,8VPZ3Z4DXA,39,28946,249169,629,98,4,18.09,24,0.72,PhD,Self-employed,Single,No,No,Education,No,1
115405,JIK8NXCRD2,47,17232,184775,722,79,3,17.39,12,0.6,Master's,Unemployed,Single,No,Yes,Auto,Yes,1
115429,0R20L1CDXG,46,36540,132702,779,67,4,19.95,24,0.58,Bachelor's,Full-time,Divorced,No,No,Other,No,1
115430,G335QNS0HW,53,90490,182203,652,49,3,19.49,60,0.88,PhD,Full-time,Single,No,Yes,Business,No,1
115435,GKJNQKWM45,21,20232,238819,425,25,3,5.32,12,0.59,High School,Part-time,Single,Yes,No,Auto,Yes,1
115443,Q92E1NM4XQ,20,17656,159314,658,75,2,10.16,60,0.52,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
115460,JVWHKQ2FKC,52,93593,165685,641,17,1,22.93,60,0.64,Master's,Full-time,Divorced,No,No,Other,No,1
115464,EQKYJDYOP2,20,39314,179118,533,30,2,5.32,12,0.16,Master's,Unemployed,Divorced,No,No,Home,Yes,1
115466,4ANQYJ35KZ,29,136463,157676,390,53,4,24.52,12,0.3,Master's,Unemployed,Single,No,Yes,Other,No,1
115474,0XUYA8CNTF,19,118019,190463,720,67,2,24.03,48,0.58,High School,Self-employed,Single,No,No,Home,No,1
115479,JDBKDWKULV,41,140185,221776,582,101,1,13.27,24,0.69,Master's,Part-time,Divorced,Yes,No,Home,No,1
115492,93OZ9I78ID,51,65329,44524,389,43,2,16.09,48,0.15,Master's,Self-employed,Single,Yes,Yes,Other,Yes,1
115499,KPQGV6EMQ4,18,15823,48131,344,8,4,17.91,48,0.49,Bachelor's,Self-employed,Single,No,No,Home,No,1
115500,HLZIDJTTWJ,27,69356,238005,552,37,4,10.75,24,0.86,High School,Full-time,Divorced,Yes,Yes,Education,Yes,1
115532,J2Y6EWLIW1,49,50380,102198,737,76,4,2.59,60,0.43,High School,Self-employed,Divorced,No,No,Auto,Yes,1
115536,JF9QK7HHLP,53,31356,111325,622,36,1,22.52,48,0.85,High School,Part-time,Single,No,Yes,Auto,No,1
115542,VEGTUPIRLU,29,115854,145234,534,115,2,4.16,12,0.25,High School,Unemployed,Divorced,No,Yes,Home,No,1
115543,KXHE3M3P5I,22,54741,158314,624,64,2,10.69,36,0.22,High School,Self-employed,Single,Yes,No,Other,Yes,1
115546,G93E24ZFPA,49,50282,243813,362,94,4,23.94,24,0.47,High School,Full-time,Divorced,Yes,No,Business,No,1
115547,7MNTKJLI7P,34,127798,203907,521,65,4,20.62,24,0.67,Master's,Full-time,Single,No,No,Home,No,1
115555,BOVLLGITQS,24,23311,16101,831,17,2,8.64,60,0.23,PhD,Full-time,Single,No,No,Education,No,1
115557,F1OZJZBTTN,61,55014,248731,358,98,1,15.55,12,0.66,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,1
115564,4DOK8WJQD4,22,113909,104935,378,3,4,21.02,48,0.71,High School,Part-time,Single,Yes,Yes,Auto,Yes,1
115568,38TBXL3W5X,47,90287,207832,661,6,3,16.67,24,0.87,Bachelor's,Self-employed,Divorced,No,No,Other,Yes,1
115589,KG2S9LWZGZ,41,65821,132638,721,76,4,13.86,60,0.38,High School,Unemployed,Married,Yes,Yes,Education,No,1
115598,MTC9Z1OPIQ,30,86876,45470,321,89,1,9.04,12,0.28,High School,Self-employed,Married,Yes,Yes,Auto,No,1
115618,U009CCZUWM,25,76879,81138,361,52,2,12.72,36,0.81,High School,Unemployed,Divorced,No,No,Business,No,1
115656,13201HRD9G,26,114964,117136,776,36,1,17.0,12,0.23,Bachelor's,Unemployed,Single,Yes,No,Business,Yes,1
115677,OTG0BTD69J,31,60226,147442,404,71,4,16.3,24,0.54,Master's,Self-employed,Married,No,No,Education,Yes,1
115681,C7W6GNLMRG,49,78651,83051,501,26,1,15.23,12,0.53,Bachelor's,Unemployed,Married,No,No,Business,No,1
115685,N1LJY7JLRL,68,39728,121277,662,14,4,19.74,24,0.64,PhD,Unemployed,Divorced,No,No,Education,No,1
115687,EGSMGVWR63,46,103292,243898,641,96,4,18.65,24,0.67,Master's,Self-employed,Single,Yes,No,Home,Yes,1
115691,QH5X0BTXH1,31,100626,18049,419,29,3,20.58,48,0.15,Master's,Unemployed,Divorced,Yes,No,Education,No,1
115703,6O5RDQ8Z4Y,18,31746,70173,644,49,1,14.11,24,0.61,High School,Part-time,Single,Yes,No,Home,No,1
115705,75EPXYQVZD,34,138580,90799,734,29,2,10.05,24,0.16,High School,Part-time,Married,Yes,Yes,Auto,Yes,1
115712,9CSLRO6L84,23,83463,140295,554,46,3,13.45,24,0.87,PhD,Self-employed,Divorced,Yes,No,Business,Yes,1
115749,MWMKDN0RQL,58,33424,123973,300,95,3,6.25,12,0.89,Master's,Part-time,Divorced,No,Yes,Education,Yes,1
115755,884HDCZRG3,32,95744,245080,421,98,2,17.75,36,0.87,Master's,Part-time,Single,No,No,Auto,No,1
115759,CHFFDUM0UI,39,21982,19314,714,73,2,22.0,60,0.28,Master's,Self-employed,Married,Yes,No,Education,Yes,1
115761,KC3OEVHKZY,48,34583,106862,459,15,1,5.61,12,0.45,Bachelor's,Self-employed,Divorced,No,No,Education,No,1
115775,RK9Y7I3FL2,33,139302,38984,712,99,3,20.35,36,0.74,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
115789,L7WF5PQITU,26,24689,177410,737,17,2,6.31,12,0.38,High School,Unemployed,Married,No,No,Home,Yes,1
115797,AD0X0RYO2W,36,52021,100849,716,54,1,19.29,60,0.42,Master's,Full-time,Divorced,No,No,Other,Yes,1
115800,EIWMT159DI,32,36418,48495,417,63,4,23.44,12,0.42,Bachelor's,Unemployed,Married,No,Yes,Business,Yes,1
115802,EAGCXIWAB6,23,26990,135932,436,83,3,13.35,48,0.7,High School,Part-time,Married,No,Yes,Home,Yes,1
115827,EQ5ZFUII57,18,142529,86037,493,29,3,4.2,60,0.32,PhD,Part-time,Single,No,Yes,Education,Yes,1
115830,DK3W4QEXMK,35,60906,202804,408,46,1,9.06,36,0.14,PhD,Unemployed,Married,Yes,Yes,Other,Yes,1
115831,C5V9SSH8J5,19,124030,200887,714,98,2,18.68,60,0.65,High School,Part-time,Divorced,Yes,Yes,Education,No,1
115833,PDOH3AU2YH,24,129160,49372,833,98,4,17.96,36,0.33,PhD,Self-employed,Divorced,No,No,Home,Yes,1
115838,5OYH0XPMOC,35,142270,126612,841,80,2,7.35,12,0.47,Master's,Self-employed,Divorced,Yes,No,Home,No,1
115849,9ASHSXOH7I,54,60687,215019,520,96,1,20.55,60,0.11,PhD,Part-time,Single,Yes,Yes,Education,Yes,1
115854,1OKFPEGIGM,32,45526,38157,476,2,4,16.09,36,0.84,High School,Self-employed,Single,No,Yes,Auto,No,1
115870,2IM1YD7I63,65,61106,100235,633,1,4,23.64,48,0.28,High School,Full-time,Single,Yes,No,Business,No,1
115873,JMWN23BT3H,25,125350,96676,373,112,2,5.33,36,0.49,High School,Full-time,Married,No,No,Auto,Yes,1
115889,5ZLZWOFK6D,26,135107,249929,381,30,1,11.12,36,0.5,Bachelor's,Unemployed,Divorced,Yes,Yes,Education,No,1
115896,IHXYIX0J69,52,70222,106323,457,100,2,9.49,36,0.1,Bachelor's,Unemployed,Single,No,Yes,Other,Yes,1
115898,Y0KIHLFFV5,34,102016,138115,461,71,2,23.14,24,0.37,Master's,Unemployed,Married,No,Yes,Business,Yes,1
115903,V1ETCGP9BJ,38,112338,205287,718,24,3,21.02,60,0.51,High School,Full-time,Married,No,No,Business,No,1
115910,5EJX02KLSO,45,41061,26870,577,55,4,23.77,24,0.76,Master's,Full-time,Single,Yes,No,Auto,No,1
115913,XGXXFNQ2K7,33,16463,143935,636,32,4,20.97,48,0.66,High School,Part-time,Divorced,Yes,Yes,Other,No,1
115920,F47DKFMH92,54,140930,125103,576,14,2,14.15,36,0.77,High School,Part-time,Divorced,No,No,Other,Yes,1
115921,FL2QB7MCKC,20,42577,153440,459,88,4,24.29,60,0.39,High School,Self-employed,Divorced,Yes,No,Business,No,1
115923,LAF0OWE2VM,27,132899,205945,715,3,1,20.44,24,0.57,Bachelor's,Full-time,Single,No,No,Education,No,1
115929,7ZLY6LJSOA,22,80697,109880,302,21,1,22.22,48,0.36,Master's,Unemployed,Married,No,Yes,Auto,No,1
115952,O2YCS7A00J,19,72637,237284,346,52,2,9.17,60,0.88,Bachelor's,Full-time,Married,No,Yes,Business,No,1
115972,SYZ0VDB2VK,28,148964,102164,534,103,1,24.05,12,0.38,Bachelor's,Part-time,Single,No,Yes,Auto,Yes,1
115974,5TVPK1GI0E,20,120612,90338,518,37,3,21.51,12,0.24,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,No,1
115979,VS2T7D2VGU,52,20856,169607,612,11,3,14.56,24,0.21,Master's,Full-time,Married,Yes,No,Other,Yes,1
115983,TJBU8OIQCC,23,23754,186862,322,96,3,14.32,24,0.85,Master's,Unemployed,Single,Yes,Yes,Home,No,1
116005,XT9TVWQWTP,28,100268,114959,796,15,4,23.22,12,0.21,Bachelor's,Part-time,Married,Yes,Yes,Business,Yes,1
116009,OAXLFCU5KX,25,128427,164124,519,13,3,15.47,36,0.14,PhD,Unemployed,Divorced,No,No,Auto,No,1
116016,YTTJ6HFO9C,63,26715,241523,685,91,1,13.48,48,0.83,Bachelor's,Part-time,Single,No,No,Other,Yes,1
116022,HP2AYZFBR8,64,23377,186686,327,64,3,17.79,24,0.12,Master's,Unemployed,Married,No,Yes,Auto,No,1
116029,5XKKOGUA1K,39,81281,141113,441,78,2,13.76,48,0.62,High School,Part-time,Divorced,Yes,No,Home,Yes,1
116036,IYG33PHG0O,29,53867,206050,332,47,1,7.05,24,0.76,Bachelor's,Self-employed,Married,No,Yes,Auto,No,1
116050,I8187Z75IQ,30,79049,236798,511,31,2,2.77,12,0.29,High School,Self-employed,Single,No,No,Auto,Yes,1
116060,9FDOIS2F63,40,71981,39619,753,49,4,12.63,12,0.65,PhD,Full-time,Single,No,No,Education,Yes,1
116063,VF7PPQZ3DR,55,37511,240013,589,15,3,7.91,24,0.46,Master's,Part-time,Divorced,Yes,Yes,Business,No,1
116074,NLKG5TMYBN,26,89384,155509,820,109,1,17.58,12,0.48,High School,Part-time,Divorced,No,No,Business,No,1
116080,KJVGUPYYOQ,53,20051,148030,308,26,3,11.42,24,0.14,PhD,Full-time,Divorced,Yes,Yes,Auto,No,1
116084,UYHXS11FO7,56,38880,192325,348,57,2,15.62,24,0.62,Bachelor's,Part-time,Divorced,Yes,No,Home,Yes,1
116086,WECEJOYM99,39,57283,239350,363,4,4,7.48,60,0.6,Bachelor's,Self-employed,Divorced,No,Yes,Business,Yes,1
116087,Y95TO0M6PZ,42,17377,180537,359,23,3,22.14,12,0.21,Bachelor's,Unemployed,Married,Yes,Yes,Home,No,1
116107,2NZHNB6XNW,28,74690,47480,681,44,1,13.97,60,0.75,Bachelor's,Full-time,Divorced,No,Yes,Business,No,1
116111,ZJMUERPIGW,28,102381,204107,697,45,1,5.06,48,0.85,Master's,Full-time,Divorced,No,No,Other,No,1
116125,41QPM1E9L8,52,51774,187793,621,64,3,17.23,48,0.84,Bachelor's,Part-time,Single,Yes,No,Education,No,1
116134,QRKVGQM8YX,58,127480,198701,317,99,3,24.48,12,0.53,PhD,Unemployed,Single,Yes,No,Education,No,1
116151,7W7ON7AW9D,33,17402,65845,588,65,3,2.46,36,0.16,PhD,Part-time,Single,Yes,Yes,Home,No,1
116154,V9LON80C7D,52,25039,244320,838,60,1,21.33,36,0.39,Master's,Full-time,Single,No,Yes,Education,Yes,1
116157,XR8TO5V01H,39,25267,149838,432,44,3,13.22,24,0.44,Master's,Part-time,Divorced,Yes,Yes,Other,Yes,1
116161,NNCNSL4P7P,30,32434,222001,474,17,3,14.43,12,0.24,PhD,Part-time,Divorced,No,No,Other,Yes,1
116163,EV77JEKSIM,35,46261,32981,388,117,4,16.44,36,0.56,Master's,Full-time,Single,No,No,Other,Yes,1
116166,F45TTY4BV7,47,15317,249209,464,54,4,3.53,12,0.12,Bachelor's,Unemployed,Single,Yes,Yes,Business,Yes,1
116174,QH34AZ0SUA,31,88759,163449,830,16,3,21.94,36,0.11,High School,Unemployed,Single,No,No,Business,No,1
116194,CXQKGF6I33,29,57881,180540,699,98,3,12.51,24,0.12,PhD,Self-employed,Divorced,Yes,No,Education,No,1
116230,NTM1DF50U5,31,62562,31847,573,88,3,21.93,36,0.48,High School,Part-time,Divorced,No,No,Auto,No,1
116237,RVM1GMQKT8,21,19930,46722,504,18,1,6.75,24,0.34,High School,Self-employed,Married,Yes,Yes,Business,No,1
116240,ITC2F8JKAX,23,130697,238496,302,76,2,6.9,60,0.36,Master's,Full-time,Divorced,No,No,Education,Yes,1
116241,2K6UMKSWNJ,47,64063,8754,428,5,1,23.17,36,0.14,PhD,Part-time,Single,No,Yes,Home,No,1
116253,2DDPDAEWN1,52,24340,69311,733,23,4,10.01,36,0.43,High School,Part-time,Married,No,No,Education,Yes,1
116270,MUDFUIOIIE,44,110942,77784,771,76,3,10.28,12,0.42,High School,Part-time,Married,Yes,No,Business,No,1
116289,GRUIXPC91L,57,17817,209423,435,48,2,21.45,24,0.59,Master's,Self-employed,Single,Yes,Yes,Other,No,1
116306,239H7O9QNH,41,43524,53948,447,119,3,22.58,36,0.45,High School,Part-time,Married,No,Yes,Education,Yes,1
116315,OQA4S8HX3X,23,54958,64794,561,40,3,12.24,60,0.58,Master's,Self-employed,Divorced,No,No,Auto,Yes,1
116332,YD2N0ZYDUE,63,120333,146214,845,38,1,13.02,24,0.16,PhD,Full-time,Single,No,No,Education,No,1
116356,LH06CJGGUL,51,86090,221148,693,75,3,6.32,12,0.37,High School,Self-employed,Single,No,No,Auto,No,1
116365,64F5AA8CN9,32,30946,104338,494,40,2,22.98,60,0.87,High School,Full-time,Divorced,No,Yes,Other,Yes,1
116371,QLYR1LYEZH,57,19896,112568,346,78,2,23.82,36,0.66,Master's,Full-time,Married,No,No,Other,Yes,1
116376,YRY6GJ3H1F,54,83032,37606,652,14,3,16.55,48,0.15,Bachelor's,Unemployed,Single,No,No,Home,No,1
116378,UEAXJNPKRI,18,99224,130062,398,103,4,10.65,60,0.84,PhD,Unemployed,Single,No,No,Auto,Yes,1
116398,QX0CR2LYBN,68,18049,106615,697,42,3,4.85,36,0.87,Master's,Unemployed,Single,Yes,No,Auto,No,1
116409,4RZQN908JE,38,114994,238549,699,57,4,8.45,60,0.41,Master's,Self-employed,Divorced,Yes,No,Auto,No,1
116428,X52BZDQ5C3,36,101399,221453,489,74,1,24.1,48,0.2,High School,Unemployed,Single,Yes,No,Education,No,1
116440,XWTDQVWRZK,52,145051,153685,361,78,4,9.39,48,0.85,Bachelor's,Full-time,Single,No,No,Other,No,1
116451,W6YEOIKBVS,40,28716,215174,561,4,4,11.06,24,0.72,High School,Self-employed,Divorced,Yes,No,Education,No,1
116456,Q66W6MW70T,55,31738,234498,415,114,2,15.79,12,0.36,PhD,Part-time,Single,No,Yes,Other,Yes,1
116467,7RUOTYWY1E,28,95368,139252,473,54,4,12.05,12,0.18,High School,Part-time,Single,No,No,Home,Yes,1
116476,WZL164XSHT,66,45756,237549,655,24,2,16.94,12,0.39,PhD,Unemployed,Married,No,No,Home,Yes,1
116481,TKDS6Z5MI3,58,138083,74781,456,15,4,4.21,48,0.38,Bachelor's,Part-time,Divorced,Yes,No,Auto,Yes,1
116530,KGCM0TMI0N,40,47914,229234,329,48,3,19.54,36,0.51,Master's,Unemployed,Married,No,No,Home,No,1
116549,XIPFKV497I,30,58762,201663,697,35,2,16.89,48,0.48,High School,Unemployed,Single,Yes,Yes,Education,No,1
116556,V5II0ZMXM3,18,30650,36491,397,67,3,4.96,60,0.44,Bachelor's,Full-time,Single,No,No,Auto,No,1
116578,0WSFVJ9U72,19,46397,82355,790,42,1,24.02,48,0.81,PhD,Full-time,Divorced,No,No,Business,No,1
116594,RDXYBVKABM,43,101670,118248,563,6,4,23.81,12,0.27,PhD,Unemployed,Married,Yes,No,Home,Yes,1
116595,UAY15ZGDN1,22,58064,225637,314,14,2,15.47,12,0.14,Bachelor's,Unemployed,Single,Yes,Yes,Other,No,1
116600,46FVQ0CIR3,20,39409,44642,374,16,1,6.07,36,0.52,High School,Unemployed,Married,Yes,Yes,Other,Yes,1
116604,9UO3VW2E78,22,117649,137243,339,75,1,23.99,36,0.68,High School,Full-time,Divorced,No,No,Home,Yes,1
116610,7YC5Q5QBTI,23,50979,47474,389,114,1,24.31,24,0.42,High School,Self-employed,Single,No,No,Auto,No,1
116634,KI2FRBLCFY,32,58091,122149,470,10,2,16.57,60,0.78,Master's,Part-time,Divorced,Yes,No,Auto,No,1
116668,OWLR116ADC,61,68135,27711,504,56,1,24.55,48,0.29,PhD,Part-time,Married,Yes,Yes,Business,No,1
116674,3KVNFZHT69,59,55009,218002,525,24,3,17.47,12,0.18,Master's,Unemployed,Single,No,Yes,Auto,No,1
116681,R6F15S9AGL,37,62670,167292,396,77,3,22.76,48,0.69,Bachelor's,Unemployed,Single,Yes,Yes,Business,No,1
116689,62IBCXUE0Y,25,34436,67025,714,9,1,6.34,12,0.63,PhD,Unemployed,Married,No,No,Other,No,1
116702,4CUYP3B4SB,59,26616,161755,581,21,3,23.95,12,0.53,Bachelor's,Self-employed,Single,Yes,No,Business,No,1
116705,NTIUXDKV9E,27,109151,193351,542,65,2,6.35,12,0.17,Bachelor's,Full-time,Married,No,No,Education,No,1
116731,M0IYBS9TFI,56,47914,128955,568,110,3,15.1,24,0.35,PhD,Unemployed,Single,No,No,Other,No,1
116737,2IE8PI7OMA,57,15345,227806,755,65,3,17.57,36,0.59,Bachelor's,Unemployed,Divorced,No,No,Other,No,1
116739,I8105HG924,41,69756,61011,795,1,2,10.89,48,0.16,High School,Unemployed,Single,No,No,Home,No,1
116756,JTN9INL06R,64,65204,149034,622,30,2,24.3,48,0.26,Bachelor's,Full-time,Married,No,No,Home,No,1
116766,EZBQ9RHHEV,35,147502,203247,645,106,1,21.8,12,0.23,High School,Self-employed,Single,No,Yes,Other,No,1
116772,KSHMUWRXUZ,65,54745,116558,638,72,3,9.0,12,0.4,Master's,Unemployed,Divorced,Yes,No,Business,Yes,1
116780,LHCM79BO1X,67,15930,195769,608,19,2,18.19,36,0.37,High School,Part-time,Divorced,Yes,No,Education,No,1
116782,LRR6VKOT0F,36,21536,135621,614,22,3,24.62,60,0.44,PhD,Self-employed,Married,No,Yes,Auto,Yes,1
116785,X5EXRE8DVO,38,48952,74249,758,27,1,11.98,60,0.69,Bachelor's,Unemployed,Single,No,Yes,Other,Yes,1
116793,YZ3REKDV6G,39,125736,126178,517,2,3,21.31,48,0.23,PhD,Full-time,Divorced,No,No,Home,Yes,1
116831,33XV4Y9OGD,50,97611,75895,512,48,3,18.84,12,0.19,Master's,Unemployed,Married,No,No,Business,No,1
116858,KFA3YT0HOH,25,55325,245408,741,32,3,12.95,48,0.55,High School,Full-time,Married,No,Yes,Home,Yes,1
116872,1CSWZFW67H,65,109271,153390,692,95,4,24.95,12,0.35,Bachelor's,Unemployed,Divorced,Yes,Yes,Education,No,1
116880,Y4GWBRCOXM,40,47934,151457,638,52,2,13.49,24,0.42,Bachelor's,Part-time,Single,No,No,Other,No,1
116883,UUSRR58W3S,25,15073,94134,830,34,4,21.54,24,0.55,PhD,Full-time,Single,Yes,Yes,Education,Yes,1
116888,CZMHBM2OFQ,30,105303,213220,331,69,3,4.41,36,0.76,Master's,Part-time,Married,Yes,No,Education,No,1
116889,UJCTY40MJP,48,19308,195278,474,24,2,20.67,60,0.54,Master's,Self-employed,Married,Yes,No,Other,No,1
116893,0JERFPBLWT,65,34820,237054,399,12,4,7.32,12,0.66,High School,Full-time,Single,No,Yes,Home,Yes,1
116898,U06PFM10S5,19,27969,217398,495,64,1,22.57,24,0.89,PhD,Part-time,Married,No,Yes,Home,No,1
116904,F5VJGH3B4L,20,113320,199053,836,96,3,20.66,36,0.65,High School,Full-time,Married,No,No,Other,No,1
116913,FA8WETY8DV,65,47822,163813,520,36,1,22.46,24,0.72,Bachelor's,Part-time,Married,Yes,Yes,Other,Yes,1
116921,1X5XH772CV,24,130295,157201,698,74,4,23.04,60,0.78,Master's,Full-time,Single,No,Yes,Business,No,1
